Comic_Name,Issue_Title,Date_Of_Publication,Issue_Description,Writer,Price,Character_Name,Character_Alignment,Character_Gender,Character_Race
Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016),Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #1,"March 02, 2016","Spider-Man and Silk aren't necessarily pals right now, but they've got no choice but to work together when they accidentally travel back in time to just BEFORE they got their spider-powers! Now, they have to get along while stopping a threat to the timeline...WITHOUT accidentally wiping out their own powers! Writer Robbie Thompson (Silk, Venom: Spaceknight) teams with artist Todd Nauck (Nightcrawler, Amazing Spider-Man) to bring us a tale of Amazing Anachronistic Arachnids! Collecting the first two chapters of the Infinite Comic series.",William Forbes, $4.99,Spider-Man,good,Male,Human
Amazing Spider-Man & Silk: The Spider(Fly) Effect Infinite Comic (2016),Amazing Spider-Man & Silk: The Spider(Fly) Effect Infinite Comic (2016) #8,"May 04, 2016","Peter Parker and Cindy Moon have traveled back in time 10 years, but now it’s time to go home! Will Ben Parker and Ines, better known as Chronosaurus Rex, be able to help them do it? Does time-travel even make any sense? Only one way to find out…",Robbie Thompson, Free,Spider-Man,good,Male,Human
,,,,,,Spider-Man,good,-,Human
Age of Innocence: The Rebirth of Iron Man (1996),Age of Innocence: The Rebirth of Iron Man (1996) #1,"February 01, 1996","With Tony Stark practically on his deathbed, Pepper, Jarvis and Happy wait and stand vigil while reminiscing about Iron Man's past.",Terry Kavanagh, Free,Iron Man,good,Male,Human
All-New Iron Manual (2008),All-New Iron Manual (2008) #1,"May 14, 2008","These are the chronicles of Tony Stark: the playboy, the genius inventor, the philanthropist, the director of S.H.I.E.L.D., the futurist, the hero. This Handbook is the definitive resource to the world of Iron Man, featuring Tony's closest allies (Happy and Pepper Hogan, War Machine, the Order) and deadliest foes (Justin Hammer, Mandarin, Obadiah Stane)! Includes a complete gallery of the Iron Man armors, plus all-new schematics of key armors and the S.H.I.E.L.D. Helicarrier!","Anthony Flamini, David Wiltfong, Ronald Byrd, Al Sjoerdsma", $4.99,Iron Man,good,Male,Human
All-New Iron Manual Digital Comic (2010 - 2008),All-New Iron Manual Digital Comic (2010) #1,"September 22, 2010","Read this dossier of Iron Man's allies, enemies and compatriots, as well as take a tour of his armory through the ages! This is your definitive guide to the tech behind Iron Man!",None, Free,Iron Man,good,Male,Human
All-New Iron Manual Digital Comic (2010 - 2008),All-New Iron Manual Digital Comic (2010) #2,"November 30, -0001",None,None, Free,Iron Man,good,Male,Human
Anthem BlueCross Presents: Iron Man & Habit Heroes (2013),Anthem BlueCross Presents: Iron Man & Habit Heroes (2013) #1,"August 30, 2013","- The Habit Hazards -Sappers that steal your energy, the Blocker Bots that prevent you from eating healthy, and the Scorchers that trick you into dehydration-have united for the first time into an unbeatable force...and have descended upon New York City! - The Habit Heroes - Agent Dynamo, Agent Fuel, and Agent Quench - respond to the emergency, charging into the city to save its citizens...but the threat is too big for them to handle alone! To combat the Hazards' mysterious new technology, they seek out the world-famous Armored Avenger, Iron Man! - But when the Hazards cause even the brilliant Tony Stark to fall into old unhealthy habits, can even the combined might of the Habit Heroes and Iron Man be enough to stop the Hazards latest evil endeavor?",Christos Gage, Free,Iron Man,good,Male,Human
Captain America/Iron Man (2021 - Present),None,None,None,None,None,Iron Man,good,Male,Human
Essential Iron Man Vol. 2 (2010 - 2011),Essential Iron Man Vol. 2 (2010),"January 05, 2011","It's armored action at its best as Iron Man faces Ultimo; the Mandarin; the Titanium Man, the ever-popular communist menace; and more! Guest-starring S.H.I.E.L.D., the Sub-Mariner and the Hulk! Includes the first run of Iron Man's solo series! Collecting TALES OF SUSPENSE #73-99, TALES TO ASTONISH #82, IRON MAN & SUB-MARINER #1 and IRON MAN #1-11.",None, Free,Iron Man,good,Male,Human
Essential Iron Man Vol. 3 (2010 - 2011),Essential Iron Man Vol. 3 (2010),"January 19, 2011","Shellhead's rogues gallery grows during his first faceoffs with the Controller, Mordecai Midas, Firebrand and Spymaster -- all enemies destined to plague him for years to come! Meanwhile, Tony Stark splits his life among LMD impostors, but will he lose his heart to Madame Masque? Plus: attacks by aliens, androids, organized crime and more! Guest-starring Daredevil, the Avengers and S.H.I.E.L.D.! Collecting IRON MAN #12-38 and DAREDEVIL #73.",None, Free,Iron Man,good,Male,Human
Fantastic Four/Iron Man: Big in Japan (2005 - 2006),FANTASTIC FOUR/IRON MAN: BIG IN JAPAN TPB (Trade Paperback),"June 07, 2006","Collects Fantastic Four/Iron Man: Big In Japan #1-4 and material from Spider-Man Unlimited #8. Mass panic has struck the streets of Tokyo! The media has initiated round-the-clock coverage. Uncontrollable crowds are choking the streets, and kaiju hysteria has gripped the island of Japan for the first time in 50 years! Because the Fantastic Four, the world's first super-hero big-monster battling squad, and playboy industrialist Tony Stark have descended on the Land of the Rising Sun! Zeb Wells (NEW WARRIORS, SPIDER-MAN/DOCTOR OCTOPUS: YEAR ONE) and Seth Fisher (Green Lantern: Willworld, Batman: Legends of the Dark Knight) bring you a manic fusion of Marvel super heroes with Japanese pop culture that proves why the FF and Iron Man are big in Japan! It's an all-out romp with big monsters a-go-go as Droom, Giganto and Eerok, the giant ape -- along with hundreds of manic '50s Marvel monsters -- trample Tokyo's first-ever Kaiju Museum and Celebration!",None,None,Iron Man,good,Male,Human
Fantastic Four/Iron Man: Big in Japan (2005 - 2006),Fantastic Four/Iron Man: Big in Japan (2005) #4,"February 01, 2006","Guaranteed Chock Full'O Monsters!
There's trouble in more than just Tokyo now! With the mother of all monsters, the Apocalypse Beast, tearing its way across the globe, the Fantastic Four and Iron Man join forces in a tenuous team-up with the Mole Man! It's a last ditch effort on Monster Island to save the world from getting squashed-literally!
32 PGS./T+ SUGGESTED FOR TEENS AND UP...$3.50",Zeb Wells, Free,Iron Man,good,Male,Human
Fantastic Four/Iron Man: Big in Japan (2005 - 2006),Fantastic Four/Iron Man: Big in Japan (2005) #3,"December 14, 2005","Do you know kung fu?

Armed with the knowledge that the mother of all Big Monsters is headed their way, the Fantastic Four and Iron Man are heading south! To Antarctica, that is, and to the very source of the disturbance sending monsters worldwide into an uncontrollable panic. But even the greatest scientific minds in the Marvel U, and their Japanese cohort, monster expert, Dr. Yamane, may have met their match when the unknowable, the unimaginable, the biggest darn big monster ever, comes home to crush a little planet called Earth.

32 PGS./T+ SUGGESTED FOR TEENS AND UP ...$3.50",Zeb Wells, Free,Iron Man,good,Male,Human
Fantastic Four/Iron Man: Big in Japan (2005 - 2006),Fantastic Four/Iron Man: Big in Japan (2005) #2,"November 16, 2005","ALL-OUT MONSTER RIOT!
It's big battle time in Japan and only the kaiju-crushing First Family of Super Heroes and Tony Stark, the Invincible Iron Man can save the city from the size 2000 Nikes of monsters gone mad! You'll find out here and now Reed Richards' answer to the hottest dating question in all of Tokyo: Do you speak monster?
32 PGS./T+ SUGGESTED FOR TEENS AND UP ...$3.50",Zeb Wells, Free,Iron Man,good,Male,Human
Fantastic Four/Iron Man: Big in Japan (2005 - 2006),Fantastic Four/Iron Man: Big in Japan (2005) #1,"October 05, 2005","Mass panic has struck the streets of Tokyo! The media has initiated round-the-clock coverage. Uncontrollable crowds are choking the streets, and kaiju hysteria has gripped the island of Japan for the first time in 50 years! Because the Fantastic Four, the world's first super-hero big-monster battling squad, and playboy industrialist, Tony Stark, have descended on the Land of the Rising Sun!

Zeb Wells (New Warriors, Doctor Octopus: Year One) and Seth Fisher (Green Lantern: Willworld, Batman: Legends of the Dark Knight) bring you a manic fusion of Marvel super heroes with Japanese pop culture that proves why the FF and Iron Man are big in Japan!

It's an all-out romp with big monsters a-go-go as Droom, Giganto and Eerok, the giant ape, along with hundreds of manic '50s Marvel monsters, trample Tokyo's first-ever Kaiju Museum and Celebration!

32 PGS./T+ SUGGESTED FOR TEENS AND UP ...$3.50",Zeb Wells, $3.50,Iron Man,good,Male,Human
Generations: Iron Man & Ironheart (2017),Generations: Iron Man & Ironheart (2017) #1,"September 06, 2017","Riri Williams is given a once-in-a-lifetime chance to meet Tony Stark - Sorcerer Supreme! Join Ironheart as she discovers things about the Iron Man legacy that will change her forever. IRON MAN writer and Riri co-creator Bendis teams up with the award-winning multimedia artist Marco Rudy to give you a beautiful, unique look at the first step into a new era of Iron Man!",Brian Michael Bendis, $4.99,Iron Man,good,Male,Human
Guidebook to the Marvel Cinematic Universe- Marvel’s Incredible Hulk/Marvel’s Iron Man 2 (2015),Guidebook to the Marvel Cinematic Universe- Marvel’s Incredible Hulk/Marvel’s Iron Man 2 (2015),"November 25, 2015","Our comprehensive coverage of the fan-favorite Marvel Studios films and Marvel Television series rolls on! A comprehensive Iron Man update — everything on War Machine, Black Widow and Howard Stark; enemies including Whiplash and Justin Hammer; high-tech devices like Iron Man’s new RT and the Hammer Drones; and updates on Nick Fury, Phil Coulson and more! Relive the big-screen thrills of 2010’s Iron Man 2, and continue building your indispensable library of Cinematic Universe reference books!",Mike O'sullivan, $3.99,Iron Man,good,Male,Human
Guidebook to the Marvel Cinematic Universe- Marvel’s Iron Man (2015),Guidebook to the Marvel Cinematic Universe- Marvel’s Iron Man (2015) #1,"October 28, 2015","At last, the Marvel Cinematic Universe receives its own guidebook! Starting with the 2008 blockbuster Marvel's Iron Man, this series will profile fan-favorite Marvel Studios films and Marvel Television series! But this isn't your daddy's Official Handbook - the MCU Guidebooks are completely overhauled, slicker, sleeker and packed with vital information about the people, places, and objects that make the Marvel Cinematic Universe so compelling! Chock full of ""fast facts,"" movie-to-comic comparisons, behind-the-scenes artwork and production stills, this inaugural issue features Tony ""Iron Man"" Stark himself; allies like Pepper Potts, Happy Hogan, Ho Yinsen and Agent Phil Coulson; enemies like Obadiah Stane and the Ten Rings; Tony's armors and equipment including JARVIS, the Arc Reactor, Stark Mansion - and don't forget ""Dum-E!"" And much more! Relive the big-screen thrills of Marvel's Iron Man, and begin building your indispensable library of Cinematic Universe reference books!","Patrick C. Duke, Troy Benjamin, Marc Riemer, Stuart Vandal", $3.99,Iron Man,good,Male,Human
Harley Davidson Iron Man Special (2013),Harley Davidson Iron Man Special (2013) #1,"July 11, 2013","Featuring the dramatic reveal of the 2013 Harley-Davidson Iron Man 3 ""Man & Machine"" contest winners as Road Force's Reconnaissance and Demolition Division-R.A.D.D.! It's a triple-pronged attack as Iron Man, Road Force, and R.A.D.D. split up to quell Kang's invasion. The thrilling conclusion to this two-part adventure!",William Harms, Free,Iron Man,good,Male,Human
Indomitable Iron Man Black and White (2010),Indomitable Iron Man Black and White (2010) #1,"February 03, 2010","Iron Man does battle with a hyper-intelligent space probe bent on terraforming the planet! And Tony battles Titanium Man while fielding calls for Stark International! All this and more in this all-new, all-action, all-black-and-white one-shot in the spirit of the Mighty Marvel Magazines of yore, but ALL-NOW in style! The Iron Mania never lets up for a moment over these four stories by some of Marvel's hottest writers! One-Shot/Parental Advisory...$3.99","Howard Chaykin, Alex Irvine, Paul Cornell, Duane Swierczynski", $3.99,Iron Man,good,Male,Human
Infamous Iron Man (2016 - 2017),Infamous Iron Man (2016) #12,"September 27, 2017","The epic climax to one of the most critically acclaimed stories of the year! With enemies on all sides, how can Victor Von Doom continue to carry on the legacy of Iron Man - especially when the legacy of Doctor Doom still haunts him at every turn? Don't miss this very special issue, as its events will have massive repercussions for the rest of the Marvel Universe!",Brian Michael Bendis, $3.99,Iron Man,good,Male,Human
Infamous Iron Man (2016 - 2017),Infamous Iron Man (2016) #11,"August 30, 2017",Doom finally confronts his mother about the impossible truth of her resurrection - and the Maker unveils his plans to destroy Victor Von Doom inside and out!,Brian Michael Bendis, $3.99,Iron Man,good,Male,Human
,,,,,,Iron Man,good,Male,Human
Adventures of Captain America (1991 - 1992),Adventures of Captain America (1991) #4,"January 01, 1992","The final showdown between Cap and the Red Skull at last! But even if Cap comes out on top, will he be able to cope with the devastating revelations this victory has brought?","Fabian Nicieza, Kevin Maguire", Free,Captain America,good,Male,Human
Adventures of Captain America (1991 - 1992),Adventures of Captain America (1991) #3,"December 01, 1991","As Cap and Bucky get ever closer to confronting the Red Skull, the mystery identity of the evil Agent X is revealed -- and it shatters the world that Steve Rogers thought he knew forever!",Fabian Nicieza, Free,Captain America,good,Male,Human
Adventures of Captain America (1991 - 1992),Adventures of Captain America (1991) #2,"November 01, 1991",Cap's war against fascism begins at last! Watch as Steve Rogers and Bucky Barnes meet for the first time! Marvel as Cap dons his costume and takes up his original shield!,Fabian Nicieza, Free,Captain America,good,Male,Human
Adventures of Captain America (1991 - 1992),Adventures of Captain America (1991) #1,"September 01, 1991","Relive the monumental origins of Marvel's Sentinel of Liberty, retold for the modern age -- with new secrets revealed! As Captain America is born, so does the rise of the Red Skull begin…but who is the mysterious Agent X?",Fabian Nicieza, Free,Captain America,good,Male,Human
All-New Captain America (2014 - 2015),All-New Captain America (2014) #6,"April 29, 2015","Baron Blood vs Captain America, Hydra's war is won, and Zemo's atrocities continue. Sam Wilson will earn his strips--the single greatest sacrifice in a lifetime of them--and he will never be the same again. The end of the first story arc that sets the stage for the coming Age of Hydra.",Rick Remender, $3.99,Captain America,good,Male,Human
All-New Captain America (2014 - 2015),All-New Captain America (2014) #5,"March 18, 2015",The countdown to great leveling begins. Planet Hydra Is all but assured. Captain America is our last hope.,Rick Remender, $3.99,Captain America,good,Male,Human
All-New Captain America (2014 - 2015),All-New Captain America (2014) #4,"February 18, 2015","Hydra initiates the next step in their scheme, millions of innocent souls hang in the balance. Cap is broken and nearly dead from the gauntlet of the new Hydra, so how can he take down the combined might of Cobra and the Armadillo in time to stop the great leveling? A mysterious woman from the past returns!",Rick Remender, $3.99,Captain America,good,Male,Human
All-New Captain America (2014 - 2015),All-New Captain America (2014) #3,"January 14, 2015","This is it! The new generations meet--Captain America vs Sin, daughter of the Red Skull! The truth in regards to the blood of equalization is revealed, but Hydra's proliferation is too wide, there is no stopping them now. Nomad stands tall against the ruthless might of one of Cap's oldest foes!",Rick Remender, $3.99,Captain America,good,Male,Human
All-New Captain America (2014 - 2015),All-New Captain America (2014) #2,"December 17, 2014","The new Hydra has formed, comprised of the most ruthless villains of the Marvel Universe as the great infiltration continues! Cap uncovers the ultimate goal of the new Hydra but is it too late to stop them? Cap and Nomad's new partnership is put to the ultimate test as they race to uncover The Sect of the Unknown!",Rick Remender, $3.99,Captain America,good,Male,Human
All-New Captain America (2014 - 2015),All-New Captain America (2014) #1,"November 12, 2014","This is it! The all-new, Spy-Fi, highflying adventures of Sam Wilson Captain America and Nomad begin here! Hydra is growing, the terrorist band have has infiltrated the Marvel Universe completely! But what is their ultimate goal? United by Hydra, Cap's rogue's gallery gathers to take down the new untested Captain America and Nomad!",Rick Remender, $3.99,Captain America,good,Male,Human
All-New Captain America Special (2015),All-New Captain America Special (2015) #1,"May 06, 2015","""PART 3- THE GRAND FINALE OF INHUMAN ERROR""! Red Raven has Spider-Man and the Inhumans right where he wants them! One bird turn deserves another, as the All-New Captain America answers the call to defend New York from the revenge-ready Red Raven!",Jeff Loveness, Free,Captain America,good,Male,Human
All-New Captain America: Fear Him (2015),All-New Captain America: Fear Him (2015) #4,"February 25, 2015",- It's Nomad's last stand. As the Scarecrow's terror pheromone has taken Captain America's mind... But that's really the least of his worries. - What does it take to scare a man who grew up in a Dimension of boogie men?,"Dennis ""Hopeless"" Hallum", $3.99,Captain America,good,Male,Human
All-New Captain America: Fear Him (2015),All-New Captain America: Fear Him (2015) #3,"February 18, 2015","- Cap and Nomad reunited! There's not much this dysfunctional duo can't handle... - Except, of course, when one of them is having a violent psychotic episode.","Dennis ""Hopeless"" Hallum", $3.99,Captain America,good,Male,Human
All-New Captain America: Fear Him (2015),All-New Captain America: Fear Him (2015) #2,"February 11, 2015",- All New Captain America searches the sewers for the missing Nomad... - While the Scarecrow and his army of terror crows do their worst.,"Dennis ""Hopeless"" Hallum", $3.99,Captain America,good,Male,Human
All-New Captain America: Fear Him (2015),All-New Captain America: Fear Him (2015) #1,"February 04, 2015",A hungry villain has returned to feed on the city's fear. It's up to the All New Captain America and Nomad to curb his appetite...Which might be easier if they weren't always at each other's throats.,"Dennis ""Hopeless"" Hallum", $3.99,Captain America,good,Male,Human
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010 - 2011)","Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010) #12","April 06, 2011","Return with us to the Silver and Golden Ages as the chronicle of the Marvel Universe continues its coverage of the Avengers (from AVENGERS #385), Thor (from 2002's THOR #43), and Captain America (from both CAPTAIN AMERICA #426 and 1944's CAPTAIN AMERICA COMICS #37). Watch the Marvel universe's history unfold month by month as we provide synopses for dozens of individual comics, including back-up strips - introducing the characters, teams, places and equipment that appeared within with vital information about first appearances, where they last showed up and where they appeared next!",Various, $3.99,Captain America,good,Male,Human
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010 - 2011)","Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010) #11","March 02, 2011","Return with us to the Silver and Golden Ages as the chronicle of the Marvel Universe continues its coverage of the Avengers (from AVENGERS #373), Thor (from 1998's THOR #1), and Captain America (from both CAPTAIN AMERICA #417 and 1944's CAPTAIN AMERICA COMICS #35). Watch the Marvel universe's history unfold month by month as we provide synopses for dozens of individual comics, including back-up strips - introducing the characters, teams, places and equipment that appeared within with vital information about first appearances, where they last showed up and where they appeared next!",None, $3.99,Captain America,good,Male,Human
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010 - 2011)","Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010) #10","February 02, 2011","The chronicle of the Marvel Universe returns as the All-New Official Index to the Marvel Universe delves into the history of three more of Marvel's most enduring titles! Return with us to the Silver and Golden Ages to we launch our coverage of the Avengers (from AVENGERS #345), Thor (from THOR #460), and Captain America (from both CAPTAIN AMERICA #387 and 1941's CAPTAIN AMERICA COMICS #32). Watch the Marvel universe's history unfold month by month as each issue provides synopses for dozens of individual comics, including back-up strips, introducing the characters, teams, places and equipment that appeared within, providing vital information about first appearances, where they last showed up and where they appeared next!",Various, $3.99,Captain America,good,Male,Human
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010 - 2011)","Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010) #9","January 05, 2011","The chronicle of the Marvel Universe returns as the All-New Official Index to the Marvel Universe delves into the history of three more of Marvel's most enduring titles! Return with us to the Silver and Golden Ages to we launch our coverage of the Avengers (from AVENGERS #300), Thor (from THOR #398), and Captain America (from both CAPTAIN AMERICA #332 and 1941's CAPTAIN AMERICA COMICS #31). Watch the Marvel universe's history unfold month by month as each issue provides synopses for dozens of individual comics, including back-up strips, introducing the characters, teams, places and equipment that appeared within, providing vital information about first appearances, where they last showed up and where they appeared next!",Various, $3.99,Captain America,good,Male,Human
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010 - 2011)","Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010) #8","December 02, 2010","The chronicle of the Marvel Universe continues as the All-New Official Index to the Marvel Universe delves into the history of three of Marvel's most enduring titles! Return with us to the Silver and Golden Ages as we continue our coverage of the Avengers (from AVENGERS #260), Thor (from THOR #350), and Captain America (from both CAPTAIN AMERICA #306 and 1941's CAPTAIN AMERICA COMICS #31). Watch the Marvel universe's history unfold month by month as each issue provides synopses for dozens of individual comics, including back-up strips, introducing the characters, teams, places and equipment that appeared within, providing vital information about first appearances, where they last showed up and where they appeared next! 64 PGS./Rated A ...$3.99",None, $3.99,Captain America,good,Male,Human
,,,,,,Captain America,good,Male,Human
Black Panther (1977 - 1979),Black Panther by Jack Kirby Vol. 2 (Trade Paperback),"July 05, 2006","Heroism seems to run in the Black Panther's family...but which way are the new heroes running? The King's favorite king returns in some of his earliest solo sagas! Mutated monsters menace the wondrous reign of Wakanda! Captivating Kirby classics not seen in nearly thirty years! Collects BLACK PANTHER #8-13.
112 PGS./All Ages ...$19.99",None,None,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther by Jack Kirby Vol. 1 (Trade Paperback),"February 02, 2005","The Black Panther, as only ""King"" Kirby could do it! They searched for it! They fought - and even killed - for it! What was it? King Solomon's Frog! Alongside Mr. Little and Princess Zanda, T'Challa battles the Collectors, the Six-Million-Year Man and more in this power-packed, never-before-reprinted action epic in the mighty Marvel manner! Collects BLACK PANTHER #1-7.",None,None,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #15,"May 01, 1979","KLAW has returned! The Murderous Master of Sound has already taken down the Vision, and his next target is his old nemesis, the Black Panther!",Ed Hannigan, Free,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #14,"March 01, 1979","The Black Panther in the Big Apple! T'Challa faces down a local gang of looters, but they have a secret weapon -- one that T'Challa knows extremely well!",Ed Hannigan, Free,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #13,"January 10, 1979",The final showdown with Kiber!,Ed Hannigan, $0.35,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #12,"November 10, 1978","Kidnapped - by Kiber the Cruel! Held captive by enemy agents, T'Challa must use all his cunning to stage an escape and reach his cousin Khanata before it's too late!",None, $0.35,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #11,"September 10, 1978",The fallout of T'challa's last battle has left the Wakandan king with all-new powers - including ESP!,None, $0.35,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #10,"July 10, 1978",The Black Panther races against the clock to stop Jakarra from using the Vibranium Mound to destroy the Earth!,None, $0.35,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #9,"May 10, 1978","Without the protection of the Black Panther, Wakanda’s Royal Family stands alone in stopping Jakarra. Meet the Black Musketeers!",None, $0.35,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #8,"March 10, 1978",T’Challa’s returning to Wakanda and the timing couldn’t be better. Mutinous half-brother Jakarra has been mutated by Vibranium…and his coup for the throne is gaining fast momentum. Introducing the Wakandan Royal Family!,Jack Kirby, $0.35,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #7,"January 10, 1978","Behold! The origin of the Black Panther cult! What is the legacy T’Challa, Prince of Wakanda, was born into? And what do the Black Panthers protect? General Jakarra taps into a precious Wakandan resource…with disastrous results.",None, $0.35,Black Panther,good,Male,Human
